CZI_File,Channel,Area,Quadrant,Timepoint
T0 Liver APAP raw.czi,DAPI,22131,Q1,0
T0 Liver APAP raw.czi,DAPI,17149,Q2,0
T0 Liver APAP raw.czi,DAPI,14374,Q3,0
T0 Liver APAP raw.czi,DAPI,19021,Q4,0
T0 Liver APAP raw.czi,LRRK2,2988,Q1,0
T0 Liver APAP raw.czi,LRRK2,1546,Q2,0
T0 Liver APAP raw.czi,LRRK2,1562,Q3,0
T0 Liver APAP raw.czi,LRRK2,1358,Q4,0
T0 Liver APAP raw.czi,Clec4f,7094,Q1,0
T0 Liver APAP raw.czi,Clec4f,7400,Q2,0
T0 Liver APAP raw.czi,Clec4f,6513,Q3,0
T0 Liver APAP raw.czi,Clec4f,6386,Q4,0
T24 Liver APAP.czi,DAPI,20112,Q1,24
T24 Liver APAP.czi,DAPI,16459,Q2,24
T24 Liver APAP.czi,DAPI,23879,Q3,24
T24 Liver APAP.czi,DAPI,16242,Q4,24
T24 Liver APAP.czi,LRRK2,1611,Q1,24
T24 Liver APAP.czi,LRRK2,1308,Q2,24
T24 Liver APAP.czi,LRRK2,1493,Q3,24
T24 Liver APAP.czi,LRRK2,1729,Q4,24
T24 Liver APAP.czi,Clec4f,1188,Q1,24
T24 Liver APAP.czi,Clec4f,1827,Q2,24
T24 Liver APAP.czi,Clec4f,1912,Q3,24
T24 Liver APAP.czi,Clec4f,1127,Q4,24
T48 Liver APAP_2.czi,DAPI,14802,Q1,48
T48 Liver APAP_2.czi,DAPI,14357,Q2,48
T48 Liver APAP_2.czi,DAPI,17582,Q3,48
T48 Liver APAP_2.czi,DAPI,11481,Q4,48
T48 Liver APAP_2.czi,LRRK2,19076,Q1,48
T48 Liver APAP_2.czi,LRRK2,13036,Q2,48
T48 Liver APAP_2.czi,LRRK2,14789,Q3,48
T48 Liver APAP_2.czi,LRRK2,14270,Q4,48
T48 Liver APAP_2.czi,Clec4f,5470,Q1,48
T48 Liver APAP_2.czi,Clec4f,10192,Q2,48
T48 Liver APAP_2.czi,Clec4f,8182,Q3,48
T48 Liver APAP_2.czi,Clec4f,5192,Q4,48
T72 Liver APAP.czi,DAPI,19709,Q1,72
T72 Liver APAP.czi,DAPI,12988,Q2,72
T72 Liver APAP.czi,DAPI,9825,Q3,72
T72 Liver APAP.czi,DAPI,15817,Q4,72
T72 Liver APAP.czi,LRRK2,15293,Q1,72
T72 Liver APAP.czi,LRRK2,5164,Q2,72
T72 Liver APAP.czi,LRRK2,4094,Q3,72
T72 Liver APAP.czi,LRRK2,8516,Q4,72
T72 Liver APAP.czi,Clec4f,1679,Q1,72
T72 Liver APAP.czi,Clec4f,1839,Q2,72
T72 Liver APAP.czi,Clec4f,1283,Q3,72
T72 Liver APAP.czi,Clec4f,1647,Q4,72
