,0
input/counts/AMP4-B06A-new/AMP04-B06A-new-Scene-01-B2-B2.czi,15451
input/counts/AMP4-B06A-new/AMP04-B06A-new-Scene-02-B3-B3.czi,13194
input/counts/AMP4-B06A-new/AMP04-B06A-new-Scene-03-B4-B4.czi,13659
input/counts/AMP4-B06A-new/AMP04-B06A-new-Scene-04-B5-B5.czi,14619
input/counts/AMP4-B06A-new/AMP04-B06A-new-Scene-05-B6-B6.czi,13857
input/counts/AMP4-B06A-new/AMP04-B06A-new-Scene-06-B7-B7.czi,13179
input/counts/AMP4-B06A-new/AMP04-B06A-new-Scene-07-B8-B8.czi,14563
input/counts/AMP4-B06A-new/AMP04-B06A-new-Scene-08-B9-B9.czi,13272
input/counts/AMP4-B06A-new/AMP04-B06A-new-Scene-09-B10-B10.czi,12741
input/counts/AMP4-B06A-new/AMP04-B06A-new-Scene-10-B11-B11.czi,14978
input/counts/AMP4-B06A-new/AMP04-B06A-new-Scene-11-C2-C2.czi,13858
input/counts/AMP4-B06A-new/AMP04-B06A-new-Scene-12-C3-C3.czi,12759
input/counts/AMP4-B06A-new/AMP04-B06A-new-Scene-13-C4-C4.czi,13645
input/counts/AMP4-B06A-new/AMP04-B06A-new-Scene-14-C5-C5.czi,14202
input/counts/AMP4-B06A-new/AMP04-B06A-new-Scene-15-C6-C6.czi,13731
input/counts/AMP4-B06A-new/AMP04-B06A-new-Scene-16-C7-C7.czi,13355
input/counts/AMP4-B06A-new/AMP04-B06A-new-Scene-17-C8-C8.czi,11657
input/counts/AMP4-B06A-new/AMP04-B06A-new-Scene-18-C9-C9.czi,11531
input/counts/AMP4-B06A-new/AMP04-B06A-new-Scene-19-C10-C10.czi,10415
input/counts/AMP4-B06A-new/AMP04-B06A-new-Scene-20-C11-C11.czi,13320
input/counts/AMP4-B06A-new/AMP04-B06A-new-Scene-21-D2-D2.czi,14592
input/counts/AMP4-B06A-new/AMP04-B06A-new-Scene-22-D3-D3.czi,13651
input/counts/AMP4-B06A-new/AMP04-B06A-new-Scene-23-D4-D4.czi,12795
input/counts/AMP4-B06A-new/AMP04-B06A-new-Scene-24-D5-D5.czi,14990
input/counts/AMP4-B06A-new/AMP04-B06A-new-Scene-25-D6-D6.czi,15081
input/counts/AMP4-B06A-new/AMP04-B06A-new-Scene-26-D7-D7.czi,13915
input/counts/AMP4-B06A-new/AMP04-B06A-new-Scene-27-D8-D8.czi,13067
input/counts/AMP4-B06A-new/AMP04-B06A-new-Scene-28-D9-D9.czi,12990
input/counts/AMP4-B06A-new/AMP04-B06A-new-Scene-29-D10-D10.czi,12034
input/counts/AMP4-B06A-new/AMP04-B06A-new-Scene-30-D11-D11.czi,14718
input/counts/AMP4-B06A-new/AMP04-B06A-new-Scene-31-E2-E2.czi,14267
input/counts/AMP4-B06A-new/AMP04-B06A-new-Scene-32-E3-E3.czi,12641
input/counts/AMP4-B06A-new/AMP04-B06A-new-Scene-33-E4-E4.czi,13341
input/counts/AMP4-B06A-new/AMP04-B06A-new-Scene-34-E5-E5.czi,14565
input/counts/AMP4-B06A-new/AMP04-B06A-new-Scene-35-E6-E6.czi,13576
input/counts/AMP4-B06A-new/AMP04-B06A-new-Scene-36-E7-E7.czi,14680
input/counts/AMP4-B06A-new/AMP04-B06A-new-Scene-37-E8-E8.czi,14615
input/counts/AMP4-B06A-new/AMP04-B06A-new-Scene-38-E9-E9.czi,12145
input/counts/AMP4-B06A-new/AMP04-B06A-new-Scene-39-E10-E10.czi,13273
input/counts/AMP4-B06A-new/AMP04-B06A-new-Scene-40-E11-E11.czi,15151
input/counts/AMP4-B06A-new/AMP04-B06A-new-Scene-41-F2-F2.czi,14347
input/counts/AMP4-B06A-new/AMP04-B06A-new-Scene-42-F3-F3.czi,13962
input/counts/AMP4-B06A-new/AMP04-B06A-new-Scene-43-F4-F4.czi,13183
input/counts/AMP4-B06A-new/AMP04-B06A-new-Scene-44-F5-F5.czi,13563
input/counts/AMP4-B06A-new/AMP04-B06A-new-Scene-45-F6-F6.czi,14842
input/counts/AMP4-B06A-new/AMP04-B06A-new-Scene-46-F7-F7.czi,14378
input/counts/AMP4-B06A-new/AMP04-B06A-new-Scene-47-F8-F8.czi,13597
input/counts/AMP4-B06A-new/AMP04-B06A-new-Scene-48-F9-F9.czi,13503
input/counts/AMP4-B06A-new/AMP04-B06A-new-Scene-49-F10-F10.czi,12931
input/counts/AMP4-B06A-new/AMP04-B06A-new-Scene-50-F11-F11.czi,14329
input/counts/AMP4-B06A-new/AMP04-B06A-new-Scene-51-G2-G2.czi,16138
input/counts/AMP4-B06A-new/AMP04-B06A-new-Scene-52-G3-G3.czi,14154
input/counts/AMP4-B06A-new/AMP04-B06A-new-Scene-53-G4-G4.czi,14136
input/counts/AMP4-B06A-new/AMP04-B06A-new-Scene-54-G5-G5.czi,15582
input/counts/AMP4-B06A-new/AMP04-B06A-new-Scene-55-G6-G6.czi,14790
input/counts/AMP4-B06A-new/AMP04-B06A-new-Scene-56-G7-G7.czi,14140
input/counts/AMP4-B06A-new/AMP04-B06A-new-Scene-57-G8-G8.czi,15909
input/counts/AMP4-B06A-new/AMP04-B06A-new-Scene-58-G9-G9.czi,14594
input/counts/AMP4-B06A-new/AMP04-B06A-new-Scene-59-G10-G10.czi,13409
input/counts/AMP4-B06A-new/AMP04-B06A-new-Scene-60-G11-G11.czi,15342
